Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2021-02-01 20:49:40,POWRBTC,BUY,0.0000034400,82.0000000000POWR,0.00028208BTC,0.0820000000POWR
2021-02-01 20:49:40,POWRBTC,BUY,0.0000034400,113.0000000000POWR,0.00038872BTC,0.1130000000POWR
2021-02-01 17:41:27,FUNBTC,BUY,0.0000012200,735.0000000000FUN,0.00089670BTC,0.7350000000FUN
2021-01-31 22:42:50,BTCEUR,BUY,"27,304.8800000000",0.0015000000BTC,40.95732000EUR,0.0000015000BTC
2021-01-31 22:42:50,BTCEUR,BUY,"27,305.9800000000",0.0005960000BTC,16.27436408EUR,0.0000006000BTC
2021-01-31 22:42:50,BTCEUR,BUY,"27,305.3800000000",0.0015000000BTC,40.95807000EUR,0.0000015000BTC
2021-01-29 14:26:47,DOGEEUR,BUY,0.0450500000,545.0000000000DOGE,24.55225000EUR,0.5450000000DOGE
2021-01-29 14:20:12,DOGEEUR,BUY,0.0440800000,393.0000000000DOGE,17.32344000EUR,0.0000000000DOGE
2021-01-29 14:20:12,DOGEEUR,BUY,0.0440800000,0.8000000000DOGE,0.03526400EUR,0.0000000000DOGE
2021-01-29 14:20:12,DOGEEUR,BUY,0.0440800000,720.0000000000DOGE,31.73760000EUR,0.0000000000DOGE
